### 1

H1	1
7	1
5	1

5	1
6	.5
6	1


5	1
5	1
6	.5
6	1

5	1
5	1
6	.5
6	1

6	1
6	1
7	1
H1	1
H2	1
7	2
5	2

H4	2
H2	2
H2	2
H2	1
H3	2

### 2

H1	1
7	1
5	1

5	1
6	.5
6	1


5	1
5	1
6	.5
6	1

5	1
5	1
6	.5
6	1

6	1
6	1
7	1
H1	1
H2	1
6	4
6	1
7	1
H1	1
H2	1
7	2
5	2
3	2
5	2

### 3

5	1
6	.5
6	1
H1	1
7	1
5	1
3	1
5	1
5	1
6	.5
6	6
0	2

### 4

H1	4

H1	1
7	1
H1	1
H2	1
H1	4

H1	1
7	1
H1	1
H2	1
H3	4

H3	1
H4	1
H3	1
H2	1
H3	1
H2	1
H1	1
H5	1
H3	4

### 5

H1	4

H1	1
7	1
H1	1
H2	1
H1	4

H1	1
7	1
+1	1
+2	1
+3	2
6	2

+2	1
+1	1
7	1
+1	1
7	2
6	1
6	3

### 6

+3	1
+3	1
+3	1
+3	.5
+3	1.5
+3	1
+2	1
+1	1
7	2
7	1
+5	1
+5	4

+5	.5
+5	.5
+5	1
+4	1
+3	1
+2	1
+3	1
+2	1
+1	1
7	1

7	2
7	1
6	1
+1	4

### 7

6	1
6	1
6	1
6	.5
6	1.5
6	1
7	1
H1	1
7	2
5	1
5	4

5	1
4	1
3	1
4	1
3	0.5
4	1
3	1
4	1
H1	1
H1	2
7	1
7	6
0	2

### 8

H1	1
7	1
5	1

5	1
6	.5
6	1


5	1
5	1
6	.5
6	1

5	1
5	1
6	.5
6	1

6	1
6	1
7	1
H1	1
H2	1
7	2
5	2
H4	2
H2	2
H2	2
H2	1
H3	2

### 9

H1	1
7	1
5	1

5	1
6	.5
6	1


5	1
5	1
6	.5
6	1

5	1
5	1
6	.5
6	1

6	1
6	1
7	1
H1	1
H2	1
6	4

6	1
7	1
H1	1
H2	1
7	2
5	2
3	1

### 10

H1	1
7	1
5	1

5	1
6	.5
6	1


5	1
5	1
6	.5
6	1

5	1
5	1
6	.5
6	1

6	1
6	1
7	1
H1	1
H2	1
7	2
5	2
H4	2
H2	2
H2	2
H2	1
H3	2

### 11

H1	1
7	1
5	1

5	1
6	.5
6	1


5	1
5	1
6	.5
6	1

5	1
5	1
6	.5
6	1

6	1
6	1
7	1
H1	1
H2	1
6	4

6	1
7	1
H1	1
H2	1
7	2
5	2
3	2
5	2

### 12

5	1
6	.5
6	1

H1	1
7	1
5	1
3	1
5	1
5	1
6	.5
6	8
